Ќаименование показателЯ	Љод по бюджетной классификации					‘умма на год		
	главного распорЯдителЯ средств федерального бюджета	раздела	подраздела	целевой статьи	вида расходов	на 2012 год	на 2013 год	на 2014 год
1	2	3	4	5	6	7	8	9
name	grbc_code	fks_code	fkr_subcode	csr_code	kvr_code	year2012	year2013	year2014
€ные бюджетные ассигнованиЯ	188	03	02	2156700	800	633К333,7	29К000,0	29К000,0
€сполнение судебных актов	188	03	02	2156700	830	35К000,0	20К000,0	20К000,0
€сполнение судебных актов ђоссийской ”едерации и мировых соглашений по возмещению вреда, причиненного в результате незаконных действий (бездействиЯ) органов государственной власти (государственных органов) либо должностных лиц этих органов, а также в результате деЯтельности казенных учреждений	188	03	02	2156700	831	35К000,0	20К000,0	20К000,0
“плата налогов, сборов и иных платежей	188	03	02	2156700	850	598К333,7	9К000,0	9К000,0
“плата прочих налогов, сборов и иных платежей	188	03	02	2156700	852	598К333,7	9К000,0	9К000,0
‚ыплата единовременного (выходного) пособиЯ при увольнении военнослужащих и сотрудников правоохранительных органов	188	03	02	2158700		564К653,8	164К653,8	164К653,8
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2158700	100	564К653,8	164К653,8	164К653,8
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2158700	130	564К653,8	164К653,8	164К653,8
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	2158700	133	564К653,8	164К653,8	164К653,8
…жемесЯчнаЯ денежнаЯ компенсациЯ за наем (поднаем) жилых помещений	188	03	02	2158800		94К507,9	94К507,9	94К507,9
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	2158800	100	94К507,9	94К507,9	94К507,9
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	2158800	130	94К507,9	94К507,9	94К507,9
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	2158800	134	94К507,9	94К507,9	94К507,9
ЊероприЯтиЯ по обеспечению миграционной политики	188	03	02	2200000		63К956,3		
ЊероприЯтиЯ по депортации (административному выдворению)	188	03	02	2200100		63К956,3		
‡акупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	200	63К956,3		
€ные закупки товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	240	63К956,3		
ЏрочаЯ закупка товаров, работ и услуг длЯ государственных нужд	188	03	02	2200100	244	63К956,3		
‘оциальнаЯ помощь	188	03	02	5050000		5К861К131,1	6К020К402,1	6К026К225,7
"”едеральный закон от 19 маЯ 1995 года Ь 81-”‡ ""Ћ государственных пособиЯх гражданам, имеющим детей"""	188	03	02	5050500		5К746К169,5	5К940К440,5	5К946К264,1
Џособие по беременности и родам	188	03	02	5050510		2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050510	100	2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050510	130	2К903К403,8	2К717К694,8	2К711К594,8
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	5050510	133	2К903К403,8	2К717К694,8	2К711К594,8
…диновременное пособие женщинам, вставшим на учет в медицинских учреждениЯх в ранние сроки беременности	188	03	02	5050511		8К745,4	8К745,4	8К830,1
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050511	100	8К745,4	8К745,4	8К830,1
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050511	130	8К745,4	8К745,4	8К830,1
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	5050511	134	8К745,4	8К745,4	8К830,1
…диновременное пособие при рождении ребенка	188	03	02	5050512		444К842,8	424К842,8	436К681,7
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050512	100	444К842,8	424К842,8	436К681,7
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050512	130	444К842,8	424К842,8	436К681,7
€ные выплаты персоналу, за исключением денежного довольствиЯ	188	03	02	5050512	134	444К842,8	424К842,8	436К681,7
…жемесЯчное пособие по уходу за ребенком	188	03	02	5050513		2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты персоналу в целЯх обеспечениЯ выполнениЯ функций государственными органами, казенными учреждениЯми, органами управлениЯ государственными внебюджетными фондами	188	03	02	5050513	100	2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты персоналу в сфере национальной безопасности, правоохранительной деЯтельности и обороны	188	03	02	5050513	130	2К389К177,5	2К789К157,5	2К789К157,5
ђасходы на выплаты, зависЯщие от размера денежного довольствиЯ	188	03	02	5050513	133	2К389К177,5	2К789К157,5	2К789К157,5
"‡акон ђоссийской ”едерации от 19 февралЯ 1993 года Ь 4520-I ""Ћ государственных гарантиЯх и компенсациЯх длЯ лиц, работающих и проживающих в районах Љрайнего ‘евера и приравненных к ним местностЯх"""	188	03	02	5051000		114К961,6	79К961,6	79К961,6
